guard_us,run,status,rx,expected,per_percent,required_guard_us,hot_path_max_us,hot_path_p99_us,rdb_host_mismatch,rdb_incomplete,rdb_resync,rx_buffer_overrun,rearm_deadline_miss,spi_faults
200,pooled-10,PASS,29798,30000,0.673,88,202,201,0,0,0,0,0,0
100,1,FAIL,2981,3000,0.6333,87,202,201,1,0,0,0,0,0
100,2,FAIL,2956,3000,1.4667,88,202,201,1,0,1,1,0,0
100,3,PASS,2992,3000,0.2667,87,202,201,0,0,0,0,0,0
100,4,PASS,2986,3000,0.4667,87,202,201,0,0,0,0,0,0
100,5,FAIL,2969,3000,1.0333,87,202,201,1,0,0,0,0,0
100,6,FAIL,2990,3000,0.3333,88,202,201,0,0,1,1,0,0
100,7,FAIL,2981,3000,0.6333,87,202,201,2,0,0,0,0,0
100,8,FAIL,2956,3000,1.4667,88,202,201,0,0,1,1,0,0
100,9,PASS,2985,3000,0.5000,87,202,201,0,0,0,0,0,0
100,10,FAIL,2982,3000,0.6000,88,202,201,1,0,1,1,0,0
100,pooled-10,FAIL,29778,30000,0.740,88,202,201,6,0,4,4,0,0
75,not-run,NOT_RUN,,,,,,,,,,,,
50,not-run,NOT_RUN,,,,,,,,,,,,
