log,validation_status,role,node,target,state_samples,idle,not_idle,phase,count,min_us,max_us,avg_x1000_us
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,temp_vdddig,503,1,1,93
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,register_setup,503,349,350,348989
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,setchannel,503,29,29,28360
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,dgc_rx_tuning,503,120,120,119564
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,pgf_cal,503,355,355,354224
exp4_32_s3_r2_init.log,PASS,coordinator,-,long,503,503,0,total,503,890,890,889372
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,register_setup,500,349,350,348990
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,setchannel,500,29,29,28360
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,dgc_rx_tuning,500,120,120,119376
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,pgf_cal,500,355,355,354223
exp4_32_s3_r2_init.log,PASS,coordinator,-,short,500,500,0,total,500,889,890,889187
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,register_setup,500,368,368,367659
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,setchannel,500,30,30,29876
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,dgc_rx_tuning,500,126,126,125737
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,pgf_cal,500,372,372,371410
exp4_32_s3_r2_n2.log,PASS,sensor,N2,long,500,500,0,total,500,935,935,934418
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,register_setup,500,368,368,367659
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,setchannel,500,30,30,29877
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,dgc_rx_tuning,500,126,126,125548
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,pgf_cal,500,372,372,371410
exp4_32_s3_r2_n2.log,PASS,sensor,N2,short,500,500,0,total,500,934,935,934231
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,register_setup,500,368,368,367660
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,setchannel,500,30,30,29876
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,dgc_rx_tuning,500,126,126,125736
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,pgf_cal,500,372,372,371410
exp4_32_s3_r2_n3.log,PASS,sensor,N3,long,500,500,0,total,500,935,935,934417
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,register_setup,500,368,368,367659
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,setchannel,500,30,30,29876
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,dgc_rx_tuning,500,126,126,125548
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,pgf_cal,500,372,372,371411
exp4_32_s3_r2_n3.log,PASS,sensor,N3,short,500,500,0,total,500,935,935,934231
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,register_setup,500,368,368,367660
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,setchannel,500,30,30,29876
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,dgc_rx_tuning,500,126,126,125736
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,pgf_cal,500,372,372,371410
exp4_32_s3_r2_n4.log,PASS,sensor,N4,long,500,500,0,total,500,935,935,934417
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,temp_vdddig,500,1,1,93
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,register_setup,500,368,368,367659
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,setchannel,500,30,30,29876
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,dgc_rx_tuning,500,126,126,125548
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,pgf_cal,500,372,372,371409
exp4_32_s3_r2_n4.log,PASS,sensor,N4,short,500,500,0,total,500,934,935,934228
