run,valid,phase,count,min_us,max_us,avg_us,p99_us,hist_overflow
2,1,poll_irq_assert_to_fint_detect,2987,10,37,24.795,37,0
2,1,sys_status_read_not_on_good_path,0,0,0,0.000,0,0
2,1,rdb_status_read,2987,21,21,21.000,21,0
2,1,next_rx_fast_command,1989,19,19,19.000,19,0
2,1,rx_metadata_spi_combined,2987,24,24,24.000,24,0
2,1,frame_length_decode,2987,1,1,1.000,1,0
2,1,rx_timestamp_decode,2987,1,1,1.000,1,0
2,1,header_copy_8b,2987,25,25,25.000,25,0
2,1,payload_copy_not_on_good_path,0,0,0,0.000,0,0
2,1,status_clear,2987,23,25,23.666,24,0
2,1,rdb_status_clear,2987,20,20,20.000,20,0
2,1,cmd_db_toggle,2987,19,19,19.000,19,0
2,1,irq_assert_to_db_toggle_total,2987,168,223,201.379,223,0
